sequence,Price,Return,Volume,Volatility,BidAskSpread,OrderFlowImbalance
0,100.0,0.032,495,10.432,4.949,18.28
1,100.09,0.143,502,10.685,5.504,18.93
2,100.1,0.0662,551,12.371,5.478,19.86
3,100.02,-0.1699,567,12.094,5.552,20.89
4,100.0,-0.0433,561,12.416,5.69,20.98
5,99.9,-0.1068,610,12.593,5.694,23.45
6,99.95,0.0275,596,12.519,6.351,22.24
7,100.2,0.3003,660,13.879,5.929,24.21
8,100.18,0.0107,655,13.43,5.429,24.44
9,100.13,-0.0501,683,13.837,5.102,26.36
10,100.25,0.1269,650,12.471,4.878,26.34
11,100.35,0.1611,655,13.266,5.177,23.81
12,100.41,0.0455,649,13.151,4.781,30.17
13,100.32,-0.1091,707,12.085,4.378,22.35
14,100.35,0.0839,679,11.999,5.069,25.73
15,100.5,0.1708,734,11.787,4.859,26.7
16,100.34,-0.0904,714,12.444,5.619,25.41
17,100.31,-0.0087,729,11.803,5.866,27.73
18,100.07,-0.208,690,11.103,5.88,25.8
19,99.91,-0.1793,704,11.58,6.113,28.22
20,99.68,-0.282,718,10.726,6.736,18.23
21,99.68,0.0025,726,10.969,6.876,23.34
22,99.52,-0.2802,682,10.773,6.732,23.62
23,99.6,0.0962,709,10.344,6.103,21.04
24,99.66,0.1048,679,11.245,5.825,14.3
25,99.66,0.0092,705,10.873,5.884,21.21
26,99.31,-0.3557,676,9.847,5.912,19.6
27,99.26,0.0024,665,11.059,5.78,12.76
28,99.28,0.0205,670,12.115,5.487,17.41
29,99.33,0.0925,674,10.54,5.273,9.65
30,99.12,-0.0972,635,12.389,5.975,15.95
31,99.08,-0.0111,653,12.374,6.164,13.59
32,98.95,-0.0772,598,11.989,6.243,12.6
33,98.85,-0.0744,612,12.912,6.427,12.3
34,99.03,0.1932,573,12.681,6.882,10.29
35,98.93,-0.0872,588,12.783,7.599,10.24
36,98.95,0.0177,555,13.99,7.737,13.83
37,99.1,0.2026,564,14.16,7.213,6.64
38,99.02,-0.148,567,13.31,7.228,14.07
39,99.02,-0.0141,527,14.052,7.417,13.04
40,99.05,0.0622,503,14.394,6.242,17.09
41,99.07,-0.0179,528,13.61,6.228,15.34
42,98.9,-0.1771,536,14.866,6.077,20.79
43,98.92,-0.0113,526,13.864,6.103,20.76
44,99.13,0.2342,500,14.27,5.456,15.38
45,98.91,-0.1826,533,14.198,6.172,19.31
46,99.04,0.2055,510,13.19,5.787,15.96
47,99.06,0.0479,532,13.573,6.787,20.71
48,98.97,-0.1257,502,13.199,6.816,21.3
49,99.27,0.316,532,13.078,7.016,20.38
50,99.39,0.1445,552,12.414,7.702,25.6
51,99.21,-0.1105,522,12.876,7.641,21.83
52,99.22,-0.0903,537,12.552,7.422,25.23
53,99.31,0.1045,564,12.8,7.935,27.74
54,99.28,-0.1163,573,12.458,7.415,24.89
55,99.37,0.1353,581,11.209,7.34,24.34
56,99.36,0.0092,584,11.596,7.352,26.75
57,99.46,0.1213,569,12.141,6.224,25.17
58,99.67,0.2548,615,12.532,6.62,31.93
59,99.56,-0.0868,605,11.862,6.506,29.23
60,99.59,-0.0048,648,12.424,6.851,30.4
61,99.51,-0.0575,617,12.821,5.688,26.89
62,99.52,0.0713,709,12.9,6.669,24.68
63,99.34,-0.1891,735,13.752,7.356,28.6
64,99.25,-0.0913,724,13.087,7.108,24.55
65,99.21,-0.0933,715,14.139,7.313,26.61
66,99.34,0.1841,743,13.803,7.452,22.61
67,99.5,0.1415,784,14.684,7.213,21.05
68,99.29,-0.2403,795,14.267,8.186,25.72
69,99.17,-0.1468,784,14.789,7.335,21.84
70,99.26,0.0497,837,15.543,6.978,20.28
71,98.95,-0.3169,842,14.722,7.507,23.29
72,98.87,-0.0144,851,15.276,7.267,12.62
73,98.85,0.0176,846,15.543,6.9,21.13
74,99.03,0.2512,864,15.107,6.621,16.8
75,99.13,0.1693,859,14.907,5.891,11.78
76,99.08,-0.0965,886,14.874,6.084,10.72
77,99.02,-0.0366,876,14.223,6.043,11.79
78,98.97,0.0303,918,14.786,6.045,13.82
79,99.2,0.3349,900,14.503,6.661,7.5
80,99.13,-0.1344,906,14.721,6.519,13.75
81,99.08,-0.1157,910,13.729,7.073,10.54
82,99.13,0.0738,909,13.857,7.803,10.99
83,99.11,-0.0349,873,12.831,7.485,8.41
84,99.08,-0.0771,924,13.097,7.505,8.99
85,98.91,-0.1483,896,12.236,7.709,11.69
86,98.91,-0.0379,877,12.677,6.894,11.78
87,98.84,-0.1726,862,12.327,7.086,7.31
88,99.02,0.1768,860,12.933,7.006,7.85
89,99.12,0.1078,852,11.506,6.499,9.46
90,99.12,0.0315,854,12.513,5.801,16.55
91,99.23,0.1507,826,12.595,6.085,10.69
92,99.18,-0.0358,833,13.26,5.607,16.78
93,99.34,0.1539,822,12.819,6.006,13.65
94,99.35,-0.0243,792,13.227,5.604,19.87
95,99.45,0.0181,837,14.337,5.795,18.19
96,99.26,-0.2045,777,13.712,6.873,17.56
97,99.32,0.1106,773,14.126,6.614,17.3
98,99.08,-0.2102,755,15.158,6.84,20.91
99,98.79,-0.1945,737,13.836,6.642,22.99
100,98.75,-0.0392,741,15.29,6.9,18.46
101,98.63,-0.2055,743,15.448,7.401,21.88
102,98.67,0.0796,702,15.548,6.897,17.34
103,99.02,0.4026,676,14.637,6.436,18.42
104,98.91,-0.1633,694,14.843,5.528,20.67
105,98.84,-0.1526,632,15.102,5.998,26.83
106,98.89,0.0569,670,15.002,5.578,23.86
107,98.98,0.1275,656,15.606,5.585,21.73
108,98.97,-0.0596,661,14.875,4.997,28.15
109,98.96,-0.0261,621,15.553,5.309,19.61
110,99.09,0.09,639,14.585,5.095,20.39
111,99.19,0.0439,626,14.611,5.046,20.55
112,99.05,-0.195,636,13.691,5.168,20.19
113,99.06,0.0182,659,13.426,6.228,20.29
114,99.09,0.0114,646,13.64,6.114,18.07
115,98.96,-0.1658,643,13.59,6.32,20.08
116,99.02,-0.0608,683,12.607,5.869,16.89
117,98.91,-0.0201,667,13.361,6.762,15.95
118,99.08,0.1262,635,12.471,5.856,12.93
119,99.14,0.0481,663,13.256,5.179,11.79
120,99.18,-0.015,702,11.855,4.961,14.17
121,99.11,-0.0445,714,12.304,4.828,10.63
122,99.12,-0.0637,722,12.865,4.998,10.09
123,98.85,-0.269,735,12.641,4.618,7.3
124,98.7,-0.1526,726,12.57,4.523,2.65
125,98.78,0.1243,756,13.381,4.174,5.27
126,98.49,-0.3457,749,13.773,4.763,-2.4
127,98.64,0.1217,770,13.384,4.71,4.98
128,98.4,-0.2477,783,14.232,5.295,6.84
129,98.54,0.2386,799,13.926,4.991,0.17
130,98.44,-0.1724,824,14.016,5.251,-1.42
131,98.58,0.1551,840,15.272,5.304,-0.61
132,98.62,0.0122,842,14.581,5.385,2.59
133,98.41,-0.1924,893,14.787,5.213,1.36
134,98.62,0.2412,875,15.518,5.403,1.38
135,98.86,0.245,925,14.737,4.804,-3.55
136,98.87,0.0239,925,14.765,4.112,2.48
137,98.85,-0.0072,891,15.049,4.091,1.62
138,98.84,-0.0323,941,15.114,3.712,3.14
139,98.72,-0.1378,903,15.365,3.186,5.19
140,98.9,0.1036,965,14.612,3.64,6.37
