sequence,Price,Return,Volume,Volatility,BidAskSpread,OrderFlowImbalance
0,100.05,-0.0187,531,12.086,4.745,16.62
1,100.22,0.1329,478,11.814,5.469,12.31
2,100.32,0.0535,547,11.862,5.565,21.5
3,100.18,-0.1379,544,12.513,5.291,28.95
4,100.36,0.2691,558,12.81,6.334,24.19
5,100.48,0.0965,587,11.601,6.064,19.49
6,100.44,-0.013,617,13.367,5.707,18.97
7,100.58,0.1292,583,11.951,5.719,23.42
8,100.68,0.0878,650,13.28,5.571,25.79
9,100.77,0.1287,660,13.708,4.356,24.37
10,100.82,-0.0279,692,13.814,4.614,23.82
11,100.95,0.0989,639,11.797,4.973,26.33
12,100.88,-0.0506,708,12.567,4.775,23.36
13,100.9,0.0239,678,12.713,4.494,25.53
14,100.88,-0.1087,672,11.511,5.096,27.56
15,101.01,0.2171,717,12.225,4.978,22.26
16,101.06,0.1662,714,11.912,6.015,22.64
17,101.05,-0.0343,676,11.109,6.29,26.88
18,100.98,-0.0318,666,11.485,6.324,24.79
19,100.98,0.0229,683,10.457,6.59,25.84
20,101.02,0.0432,705,10.673,6.721,23.75
21,101.01,-0.0714,733,10.812,6.897,20.28
22,101.24,0.2642,718,9.872,6.498,23.13
23,101.43,0.2024,693,10.409,6.609,21.38
24,101.05,-0.42,682,10.112,6.533,20.41
25,100.8,-0.2031,691,10.274,6.398,16.17
26,100.81,-0.0266,662,10.488,5.677,21.32
27,100.77,0.0209,660,11.506,5.139,15.08
28,100.83,0.0669,675,11.241,5.607,21.42
29,100.89,0.038,634,12.599,5.54,14.18
30,101.24,0.4459,661,11.598,5.489,10.82
31,101.1,-0.0719,623,12.59,5.946,17.01
32,101.06,0.0016,645,12.591,6.044,10.65
33,101.39,0.2835,617,12.573,6.626,8.58
34,101.51,0.0985,607,12.624,6.979,13.66
35,101.63,0.1467,577,13.899,6.98,12.97
36,101.57,-0.0855,554,13.956,7.118,3.46
37,101.34,-0.2629,546,14.695,7.143,14.27
38,101.38,0.0624,564,14.113,7.248,13.05
39,101.41,0.0451,547,14.391,6.636,9.97
40,101.24,-0.2355,553,14.132,6.555,13.7
41,101.15,-0.0497,538,13.569,6.524,13.8
42,101.15,0.0012,528,14.812,5.634,11.98
43,101.01,-0.0303,504,13.445,5.932,12.62
44,101.01,-0.0088,497,15.135,6.37,17.88
45,101.03,0.0147,513,13.7,5.289,15.65
46,101.04,-0.0247,506,13.285,6.412,22.36
47,100.97,-0.0403,527,13.185,6.993,14.82
48,101.06,0.0758,518,12.722,6.831,21.85
49,101.2,0.1417,513,13.06,6.97,22.56
50,101.25,0.1026,492,12.013,7.751,14.54
51,101.12,-0.0529,514,12.334,7.886,25.26
52,101.23,0.1223,584,11.942,7.834,27.35
53,101.16,-0.0896,559,12.839,8.163,24.06
54,101.29,0.1233,561,12.895,7.113,25.04
