"sequence","AccelerometerX","AccelerometerY","AccelerometerZ","GyroscopeX","GyroscopeY","GyroscopeZ"
0,-131,-974,48,-9,3,13
1,149,-963,30,-11,6,4
2,140,-1008,40,-13,22,24
3,-107,-977,-6,-12,38,44
4,-179,-950,42,-10,21,29
5,222,-935,0,-8,21,11
6,-157,-1006,52,-1,34,31
7,-74,-961,21,-9,3,18
8,122,-993,75,-13,11,13
9,-54,-993,18,-10,15,28
10,54,-960,30,-16,25,30
11,-80,-1003,4,-8,21,33
12,-60,-935,31,-11,15,27
13,-78,-1032,3,-14,18,10
14,217,-860,28,-20,-23,10
15,-324,-976,87,-21,-3,31
16,95,-976,-7,-10,6,6
17,25,-1018,48,-9,20,23
18,-1,-940,31,-4,35,19
19,-78,-1001,19,-4,23,18
20,7,-985,9,-7,20,13
21,119,-945,-3,-13,28,19
22,-150,-944,54,-14,43,34
23,-70,-1004,59,-11,8,3
24,161,-942,24,-10,20,8
25,49,-999,-5,-16,0,36
26,-105,-960,29,-15,-20,35
27,-65,-980,54,-11,7,24
28,100,-1030,-3,-14,4,13
29,-22,-965,8,-5,17,27
30,-103,-972,27,-11,6,25
31,37,-969,29,-10,11,20
32,50,-998,30,-10,9,24
33,73,-968,17,-11,20,25
34,-109,-978,36,-10,18,26
35,-95,-978,29,-13,14,21
36,31,-975,67,-13,6,11
37,322,-896,-34,4,7,17
38,-466,-1058,86,-20,-5,37
39,7,-924,8,-17,6,1
40,110,-1047,33,-9,16,5
41,15,-961,71,-9,12,16
42,12,-989,-11,-7,-5,22
43,-34,-968,30,-11,3,24
44,78,-974,13,-13,36,30
45,-108,-953,72,-8,24,36
46,-186,-969,42,-15,10,1
47,227,-981,51,-11,7,-4
48,22,-1006,6,-8,-11,31
49,31,-924,34,-16,2,46
50,-162,-982,76,-10,16,32
51,77,-966,-11,-14,32,21
52,-96,-1011,31,-17,9,22
53,5,-976,54,-9,14,11
54,76,-998,25,-11,15,15
55,79,-934,73,-8,15,23
56,7,-1011,-53,-10,5,33
57,-151,-968,86,-16,14,34
58,-91,-940,40,-7,11,9
59,79,-1057,-12,-28,-11,7
60,-77,-958,68,-28,51,34
61,-133,-924,61,-12,13,7
62,185,-1003,-11,-9,10,-5
63,-37,-1017,64,-10,-4,21
64,106,-945,8,-22,17,31
65,-155,-1020,-5,-9,21,37
66,12,-903,45,0,-26,6
67,51,-935,29,-20,-24,15
68,-210,-1043,39,-16,13,18
69,283,-918,55,-11,13,11
70,-132,-1031,25,-13,22,45
71,63,-894,-11,-14,2,28
72,-184,-995,58,-6,14,19
73,162,-1051,-55,-12,22,15
74,-93,-915,44,-4,-22,31
75,3,-982,66,-17,6,21
76,-11,-1002,12,-13,4,18
77,-27,-984,15,-10,10,17
78,-13,-1004,-5,-13,-18,17
79,19,-960,77,-6,-1,24
80,-137,-1001,-7,-16,8,23
81,25,-902,-10,-11,16,8
82,143,-988,62,-14,81,27
83,-303,-974,81,-15,-2,21
84,97,-1012,-44,-10,7,-2
85,231,-981,92,-9,26,19
86,-148,-961,-26,-6,-4,38
87,-140,-974,23,-11,11,17
88,173,-1017,40,-10,9,11
89,-24,-819,37,-8,-7,33
90,-137,-1031,51,-14,15,21
91,224,-971,20,-11,9,19
92,-243,-997,65,-14,11,35
93,154,-975,-39,-14,8,25
94,-186,-1003,75,-2,14,31
95,28,-958,25,-13,11,10
96,129,-1007,-29,-9,18,20
97,-70,-963,58,-31,6,29
98,-147,-948,91,-20,37,30
