"sequence","AccelerometerX","AccelerometerY","AccelerometerZ","GyroscopeX","GyroscopeY","GyroscopeZ"
0,-79,-977,25,-11,10,25
1,-6,-978,28,-12,13,16
2,28,-979,48,-12,11,17
3,-16,-981,23,-15,12,22
4,-48,-980,21,-11,11,20
5,11,-970,32,-9,12,15
6,27,-984,23,-14,12,19
7,-52,-988,25,-12,11,21
8,-4,-966,33,-13,12,16
9,25,-994,5,-13,11,19
10,-6,-981,19,-11,12,22
11,-30,-979,34,-9,11,22
12,21,-999,19,-12,13,21
13,46,-981,22,-8,12,27
14,-3,-979,31,-10,12,35
15,-130,-985,30,-10,8,31
16,-19,-984,26,-11,14,12
17,99,-994,27,-7,10,15
18,-66,-978,26,-10,13,27
19,-46,-973,39,-9,10,19
20,58,-984,24,-10,13,16
21,4,-995,37,-11,11,25
22,-66,-969,21,-13,14,25
23,-28,-983,39,-11,12,17
24,44,-982,35,-12,12,15
25,-26,-983,30,-13,11,20
26,-32,-978,24,-11,14,17
27,21,-974,21,-11,14,15
28,14,-985,18,-12,12,20
29,-22,-980,21,-13,12,22
30,-21,-972,26,-12,11,20
31,3,-989,5,-12,11,18
32,27,-976,35,-8,11,21
33,-10,-984,38,-12,13,25
34,8,-986,26,-10,11,26
35,15,-988,9,-10,12,28
36,-28,-997,27,-9,10,31
37,-97,-982,21,-12,12,24
38,20,-983,25,-9,10,12
39,69,-990,26,-12,12,19
40,-65,-974,20,-10,9,28
41,-43,-979,33,-10,13,19
42,28,-989,30,-10,9,17
43,-5,-979,43,-11,12,21
44,-15,-976,29,-14,12,21
45,-7,-976,25,-12,11,19
46,15,-977,26,-12,10,20
47,-22,-988,20,-12,12,21
48,-21,-977,26,-13,14,17
49,12,-980,12,-12,11,16
50,21,-983,28,-14,12,20
51,-25,-986,21,-13,13,22
52,-23,-985,27,-11,12,18
53,28,-983,20,-10,11,17
54,38,-983,26,-11,12,26
55,-38,-980,26,-9,10,31
56,-5,-992,21,-11,11,26
57,17,-985,3,-9,9,26
58,-64,-985,36,-10,12,27
59,-74,-976,32,-9,7,18
60,38,-985,28,-9,13,10
61,95,-992,33,-9,13,20
62,-55,-974,20,-11,13,31
63,-83,-978,29,-10,10,23
64,16,-986,30,-12,14,14
65,27,-983,36,-13,11,18
66,-43,-983,23,-13,11,21
67,-25,-971,31,-10,11,17
68,31,-978,34,-13,13,15
69,-6,-990,22,-14,14,21
70,-21,-976,28,-11,13,20
71,6,-979,11,-14,13,18
72,0,-985,18,-12,14,20
73,-22,-981,23,-11,13,21
74,-4,-988,25,-10,11,20
75,22,-983,15,-12,13,22
76,48,-979,27,-9,13,28
77,-83,-990,34,-12,12,33
78,-49,-982,18,-11,12,22
79,58,-1000,17,-9,14,19
80,-20,-977,26,-7,10,26
81,-98,-977,29,-10,12,21
82,45,-983,23,-9,12,12
83,45,-992,36,-11,14,21
84,-52,-980,25,-11,9,28
85,-73,-977,29,-12,13,19
86,52,-977,42,-12,11,12
87,20,-984,25,-13,12,21
88,-57,-981,28,-12,10,23
89,-16,-978,20,-12,13,16
90,37,-980,13,-12,12,17
91,-11,-983,20,-11,12,22
92,-39,-981,31,-11,8,19
93,13,-983,12,-12,13,16
94,6,-984,19,-10,11,19
95,3,-978,36,-10,11,21
96,0,-992,31,-11,10,24
97,11,-977,25,-9,12,25
98,33,-995,14,-11,13,31
99,-71,-984,26,-10,12,34
100,-93,-988,22,-11,11,22
101,68,-985,24,-8,12,12
102,20,-983,30,-10,9,22
103,-72,-973,36,-9,10,23
104,7,-984,36,-11,12,15
105,41,-986,30,-9,9,20
106,-37,-978,39,-14,11,26
107,-44,-978,22,-13,11,20
108,27,-975,34,-13,15,16
109,-2,-983,22,-12,11,21
110,-26,-984,28,-14,14,20
111,-9,-975,19,-12,13,15
112,17,-980,28,-13,14,17
113,-1,-992,19,-12,11,21
114,-17,-977,24,-13,15,20
115,5,-981,21,-10,13,21
116,17,-989,14,-11,13,24
117,0,-978,33,-10,12,26
118,-5,-985,27,-12,15,27
119,23,-983,10,-10,12,28
120,-54,-987,19,-10,14,30
121,-56,-982,37,-11,12,21
122,-33,-991,23,-10,12,14
123,74,-985,28,-9,11,13
124,40,-974,28,-11,13,25
125,-82,-982,16,-14,13,31
126,-31,-979,30,-9,12,18
127,24,-991,30,-10,11,16
128,4,-983,24,-10,12,20
129,-47,-976,28,-14,14,20
130,13,-970,33,-12,10,15
131,15,-991,25,-14,12,19
132,-28,-983,20,-12,14,21
133,0,-967,21,-14,13,19
134,14,-988,8,-11,8,20
135,-16,-979,16,-13,13,21
136,-28,-984,27,-10,10,19
137,13,-978,20,-11,11,18
138,39,-992,33,-9,9,23
139,14,-981,25,-11,13,30
140,-72,-990,29,-10,11,31
141,9,-998,11,-9,12,24
142,-12,-977,15,-7,8,25
143,-71,-978,33,-9,12,24
144,-11,-987,25,-8,10,14
145,57,-978,33,-10,13,15
146,-7,-991,24,-12,12,24
147,-59,-978,27,-11,12,24
148,-3,-971,41,-10,10,16
149,18,-982,34,-14,11,18
150,-14,-981,31,-15,11,21
151,-26,-973,20,-12,13,20
152,1,-984,26,-12,9,16
153,6,-985,12,-11,11,18
154,-39,-979,32,-12,14,20
155,-4,-986,24,-12,13,16
156,24,-983,14,-15,13,18
157,-2,-984,30,-11,13,24
158,-22,-979,33,-10,13,24
159,13,-985,30,-8,11,22
160,36,-987,18,-11,13,27
161,0,-988,16,-9,12,32
162,-123,-983,31,-11,11,29
163,-23,-980,22,-7,10,14
164,91,-993,30,-8,14,16
165,-41,-981,31,-9,11,27
166,-51,-969,39,-12,12,21
167,28,-991,21,-11,13,17
168,10,-992,32,-11,16,22
169,-40,-976,27,-12,12,24
170,-35,-976,28,-13,13,18
